FID,CLASS,COMID,REACHCODE,GNIS_ID,GNIS_NAME
25126,3,2775290,1.80201E+13,226915,Last Chance Creek
25127,4,7994043,1.80201E+13,0, 
25128,3,14981758,1.80201E+13,0, 
25129,6,8007923,1.80201E+13,234664,Scotts Creek
25130,7,7994111,1.80201E+13,267782,Stony Creek
25131,3,7947984,1.802E+13,258401,Clark Creek
25132,3,8060873,1.80201E+13,238295,Yuba River
25133,3,8064721,1.80201E+13,267540,South Yuba River
25134,4,2843579,1.80201E+13,0, 
25135,3,8057989,1.80201E+13,0, 
25136,3,8037295,1.80201E+13,0, 
25137,3,8026684,1.80201E+13,0, 
25138,4,2494636,1.80202E+13,265755,Salmon Creek
25139,3,8028184,1.80201E+13,228697,Mill Creek
25140,3,2775236,1.80201E+13,220895,Chambers Creek
25141,3,8057779,1.80201E+13,271998,Lavezzola Creek
25142,3,7948038,1.802E+13,260032,Fall River
25143,4,2848349,1.80201E+13,223927,Freshwater Creek
25144,3,948020312,1.80201E+13,263528,Middle Fork Feather River
25145,3,8039409,1.80201E+13,263528,Middle Fork Feather River
25146,2,7982836,1.80201E+13,238295,Yuba River
25147,4,7965719,1.802E+13,266396,Backbone Creek
25148,4,2843677,1.80201E+13,0, 
25149,5,7951774,1.802E+13,1654947,Pit River
25150,4,15072914,1.80201E+13,238232,Yankee Slough
25151,4,2847739,1.80201E+13,235514,Stone Corral Creek
25152,6,7995453,1.80201E+13,0, 
25153,3,8039577,1.80201E+13,264043,Nelson Creek
25154,3,8039709,1.80201E+13,0, 
25155,4,2843271,1.80201E+13,237632,White Cabin Creek
25156,3,8058645,1.80201E+13,264249,North Yuba River
25157,4,2843231,1.80201E+13,0, 
25158,3,2776672,1.80201E+13,268869,West Branch Feather River
25159,7,12074904,1.80201E+13,0, 
25160,6,8007787,1.80201E+13,0, 
25161,3,14982356,1.80201E+13,233228,Slab Creek
25162,3,8064685,1.80201E+13,0, 
25163,3,7947692,1.802E+13,0, 
25164,4,2494864,1.80202E+13,0, 
25165,3,8026896,1.80201E+13,225664,Hosselkus Creek
25166,3,2775408,1.80201E+13,233565,Bucks Creek
25167,3,8039225,1.80201E+13,267474,South Fork Long Valley Creek
25168,6,8006365,1.80201E+13,269265,Wolf Creek
25169,3,14997465,1.80201E+13,265647,Rubicon River
25170,7,12072834,1.80201E+13,0, 
25171,4,2494538,1.80202E+13,0, 
25172,4,2494800,1.80202E+13,235968,Tadpole Creek
25173,3,2772850,1.80201E+13,256430,Bailey Creek
25174,3,8058293,1.80201E+13,261179,Haypress Creek
25175,3,2800437,1.80202E+13,256791,Beegum Creek
25176,3,8064021,1.80201E+13,267540,South Yuba River
25177,3,948021102,1.80201E+13,0, 
25178,7,12072954,1.80201E+13,0, 
25179,6,2801145,1.80202E+13,256791,Beegum Creek
25180,3,8038017,1.80201E+13,1654956,South Branch Middle Fork Feather River
25181,3,2774348,1.80201E+13,0, 
25182,3,14982850,1.80201E+13,0, 
25183,7,2848111,1.80201E+13,233419,Antelope Creek
25184,3,14982438,1.80201E+13,0, 
25185,3,8056781,1.80201E+13,264249,North Yuba River
25186,3,7990821,1.80201E+13,0, 
25187,3,2764376,1.80202E+13,264319,Old Cow Creek
25188,5,2782699,1.80202E+13,1654949,Sacramento River
25189,3,8026400,1.80201E+13,262503,Little Antelope Creek
25190,7,12072950,1.80201E+13,0, 
25191,3,2764428,1.80202E+13,0, 
25192,3,7991135,1.80201E+13,266780,Grindstone Creek
25193,5,7952780,1.802E+13,1654947,Pit River
25194,3,8064015,1.80201E+13,232714,Scotchman Creek
25195,3,2764826,1.80202E+13,263610,Mill Creek
25196,4,7951780,1.802E+13,0, 
25197,3,7927725,1.802E+13,0, 
25198,3,8040743,1.80201E+13,0, 
25199,3,14993723,1.80201E+13,0, 
25200,7,12074622,1.80201E+13,0, 
25201,4,14980766,1.80201E+13,229503,New York Creek
25202,3,7948984,1.802E+13,260032,Fall River
25203,4,2842995,1.80201E+13,0, 
