OBJECTID,HUC_8,HUC_10,HUC_12,ACRES,NCONTRB_A,HU_10_GNIS,HU_12_GNIS,HU_10_DS,HU_10_NAME,HU_10_MOD,HU_10_TYPE,HU_12_DS,HU_12_NAME,HU_12_MOD,HU_12_TYPE,META_ID,STATES,CVA_NAME,Shape_Length,Shape_Area
4270,18010103,1801010304,180101030406,21518,0,,,1801010305,Outlet Creek,NM,S,180101030506,Bloody Run Creek-Outlet Creek,NM,S,CA01,CA,,44225.24459,87080395.64
4272,18010103,1801010304,180101030404,17080,0,,,1801010305,Outlet Creek,NM,S,180101030406,Long Valley Creek,NM,S,CA01,CA,,45609.60797,69121470.92
4274,18010104,1801010401,180101040101,17233,0,,,1801010405,Black Butte River,NM,S,180101040103,Spanish Creek-Black Butte River,NM,S,CA01,CA,,40880.25047,69738095.89
4280,18010104,1801010404,180101040403,28500,0,,,1801010405,Elk Creek,NM,S,180101040506,Deep Hole Creek-Elk Creek,NM,S,CA01,CA,,58044.21394,115335622.6
4281,18010104,1801010404,180101040402,17631,0,,,1801010405,Elk Creek,NM,S,180101040403,Eden Creek,NM,S,CA01,CA,,43569.25194,71350350.11
4287,18010104,1801010401,180101040103,23005,0,,,1801010405,Black Butte River,NM,S,180101040104,Baldy Creek-Black Butte River,NM,S,CA01,CA,,41733.00814,93099777.27
4288,18010104,1801010405,180101040505,10681,0,,,1801010502,Lower Middle Fork Eel River,NM,S,180101040507,Salt Creek,NM,S,CA01,CA,,31774.98724,43225458.48
4296,18010104,1801010405,180101040503,23084,0,,,1801010502,Lower Middle Fork Eel River,NM,S,180101040504,Thatcher Creek,NM,S,CA01,CA,,45038.78932,93417804.67
4299,18010104,1801010405,180101040506,14343,0,,,1801010502,Lower Middle Fork Eel River,NM,S,180101040507,Simmerly Creek-Middle Fork Eel River,NM,S,CA01,CA,,41838.26026,58044907.96
4301,18010104,1801010401,180101040102,14303,0,,,1801010405,Black Butte River,NM,S,180101040104,Cold Creek,NM,S,CA01,CA,,39914.03102,57882860.15
4310,18010105,1801010502,180101050202,20077,0,,,1801010504,Woodman Creek-Eel River,NM,S,180101050203,Stoner Creek-Eel River,NM,S,CA07,CA,,49332.5164,81249618.53
4312,18010104,1801010401,180101040104,19397,0,,,1801010405,Black Butte River,NM,S,180101040105,Blue Slide Creek-Black Butte River,NM,S,CA01,CA,,38378.05353,78497738.13
4316,18010106,1801010601,180101060102,17677,0,,,1801010603,Upper South Fork Eel River,NM,S,180101060105,Lower Tenmile Creek,NM,S,CA01,CA,,42313.92016,71535864.35
4321,18010105,1801010502,180101050201,16058,0,,,1801010504,Woodman Creek-Eel River,NM,S,180101050203,Woodman Creek,NM,S,CA01,CA,,36642.15916,64983837.73
4322,18010104,1801010403,180101040304,16775,0,,,1801010405,Mill Creek,NM,S,180101040504,Turner Creek-Mill Creek,NM,S,CA01,CA,,43628.5531,67885713.65
4342,18010105,1801010502,180101050203,20967,0,,,1801010504,Woodman Creek-Eel River,NM,S,180101050206,Tin Cabin Creek-Eel River,NM,S,CA01,CA,,49961.52353,84851096.66
4343,18010106,1801010601,180101060104,24419,0,,,1801010603,Upper South Fork Eel River,NM,S,180101060105,Rattlesnake Creek,NM,S,CA01,CA,,52805.81863,98819772.52
4344,18010104,1801010403,180101040301,10905,0,,,1801010405,Mill Creek,NM,S,180101040304,Short Creek,NM,S,CA01,CA,,41565.20553,44130295.47
4351,18010104,1801010402,180101040207,12990,0,,,1801010405,Upper Middle Fork Eel River,NM,S,180101040208,Fly Creek-Middle Fork Eel River,NM,S,CA01,CA,,36746.43073,52568406.2
