full_date,Discharge_CFS
2010-04-20,1180
2010-04-20,1180
2010-04-20,1190
2010-04-20,1210
2010-04-20,1220
2010-04-20,1240
2010-04-20,1260
2010-04-20,1270
2010-04-20,1300
2010-04-20,1320
2010-04-20,1340
2010-04-20,1360
2010-04-20,1380
2010-04-20,1390
2010-04-20,1410
2010-04-20,1430
2010-04-20,1450
2010-04-20,1470
2010-04-20,1490
2010-04-20,1510
2010-04-20,1520
2010-04-20,1530
2010-04-20,1550
2010-04-20,1560
2010-04-20,1560
2010-04-20,1580
2010-04-20,1590
2010-04-20,1590
2010-04-20,1590
2010-04-20,1590
2010-04-20,1600
2010-04-21,1600
2010-04-21,1600
2010-04-21,1600
2010-04-21,1600
2010-04-21,1600
2010-04-21,1590
2010-04-21,1590
2010-04-21,1580
2010-04-21,1580
2010-04-21,1560
2010-04-21,1560
2010-04-21,1550
2010-04-21,1540
2010-04-21,1540
2010-04-21,1530
2010-04-21,1530
2010-04-21,1530
2010-04-21,1520
2010-04-21,1520
2010-04-21,1520
2010-04-21,1510
2010-04-21,1510
2010-04-21,1500
2010-04-21,1500
2010-04-21,1500
2010-04-21,1490
2010-04-21,1490
2010-04-21,1490
2010-04-21,1490
2010-04-21,1490
2010-04-21,1480
2010-04-21,1480
2010-04-21,1480
2010-04-21,1480
2010-04-21,1480
2010-04-21,1480
2010-04-21,1480
2010-04-21,1480
2010-04-21,1470
2010-04-21,1470
2010-04-21,1470
2010-04-21,1450
2010-04-21,1450
2010-04-21,1440
2010-04-21,1440
2010-04-21,1440
2010-04-21,1430
2010-04-21,1430
2010-04-21,1420
2010-04-21,1420
2010-04-21,1420
2010-04-21,1410
2010-04-21,1410
2010-04-21,1410
2010-04-21,1400
2010-04-21,1400
2010-04-21,1400
2010-04-21,1400
2010-04-21,1390
2010-04-21,1390
2010-04-21,1390
2010-04-21,1390
2010-04-21,1390
2010-04-21,1390
2010-04-21,1390
2010-04-21,1400
2010-04-21,1420
2010-04-21,1420
2010-04-21,1430
2010-04-21,1440
2010-04-21,1450
2010-04-21,1450
2010-04-21,1470
2010-04-21,1470
2010-04-21,1480
2010-04-21,1480
2010-04-21,1490
2010-04-21,1500
2010-04-21,1510
2010-04-21,1510
2010-04-21,1520
2010-04-21,1530
2010-04-21,1550
2010-04-21,1550
2010-04-21,1560
2010-04-21,1580
2010-04-21,1580
2010-04-21,1590
2010-04-21,1590
2010-04-21,1590
2010-04-21,1590
2010-04-21,1590
2010-04-21,1590
2010-04-21,1590
2010-04-21,1590
2010-04-21,1590
2010-04-22,1590
2010-04-22,1590
2010-04-22,1590
2010-04-22,1590
2010-04-22,1590
2010-04-22,1580
2010-04-22,1580
2010-04-22,1560
2010-04-22,1560
2010-04-22,1550
2010-04-22,1550
2010-04-22,1540
2010-04-22,1540
2010-04-22,1530
2010-04-22,1530
2010-04-22,1520
2010-04-22,1520
2010-04-22,1510
2010-04-22,1510
2010-04-22,1500
2010-04-22,1500
2010-04-22,1490
2010-04-22,1490
2010-04-22,1480
2010-04-22,1480
2010-04-22,1480
2010-04-22,1470
2010-04-22,1470
2010-04-22,1470
2010-04-22,1450
2010-04-22,1450
2010-04-22,1440
2010-04-22,1440
2010-04-22,1440
2010-04-22,1430
2010-04-22,1430
2010-04-22,1430
2010-04-22,1430
2010-04-22,1420
2010-04-22,1420
2010-04-22,1420
2010-04-22,1410
2010-04-22,1410
2010-04-22,1410
2010-04-22,1410
2010-04-22,1400
2010-04-22,1400
2010-04-22,1400
2010-04-22,1400
2010-04-22,1390
2010-04-22,1390
2010-04-22,1390
2010-04-22,1390
2010-04-22,1380
2010-04-22,1380
2010-04-22,1380
2010-04-22,1380
2010-04-22,1370
2010-04-22,1370
2010-04-22,1370
2010-04-22,1360
2010-04-22,1360
2010-04-22,1360
2010-04-22,1350
2010-04-22,1350
2010-04-22,1340
2010-04-22,1340
2010-04-22,1340
2010-04-22,1330
2010-04-22,1330
2010-04-22,1320
2010-04-22,1320
2010-04-22,1310
2010-04-22,1310
2010-04-22,1310
2010-04-22,1310
2010-04-22,1300
2010-04-22,1300
2010-04-22,1290
2010-04-22,1290
2010-04-22,1280
2010-04-22,1280
2010-04-22,1280
2010-04-22,1270
2010-04-22,1270
2010-04-22,1270
2010-04-22,1260
2010-04-22,1260
2010-04-22,1250
2010-04-22,1250
2010-04-22,1250
2010-04-22,1240
2010-04-22,1240
2010-04-22,1240
2010-04-22,1230
2010-04-22,1230
2010-04-23,1230
2010-04-23,1230
2010-04-23,1220
2010-04-23,1220
2010-04-23,1220
2010-04-23,1210
2010-04-23,1210
2010-04-23,1210
2010-04-23,1200
2010-04-23,1200
2010-04-23,1200
2010-04-23,1190
2010-04-23,1190
2010-04-23,1190
2010-04-23,1190
2010-04-23,1190
2010-04-23,1190
2010-04-23,1180
2010-04-23,1180
2010-04-23,1180
2010-04-23,1180
2010-04-23,1180
2010-04-23,1180
2010-04-23,1180
2010-04-23,1180
2010-04-23,1170
2010-04-23,1170
2010-04-23,1170
2010-04-23,1170
2010-04-23,1170
2010-04-23,1170
2010-04-23,1170
2010-04-23,1170
2010-04-23,1170
2010-04-23,1170
2010-04-23,1160
2010-04-23,1160
2010-04-23,1160
2010-04-23,1160
2010-04-23,1160
2010-04-23,1160
2010-04-23,1160
2010-04-23,1160
2010-04-23,1160
2010-04-23,1160
2010-04-23,1160
2010-04-23,1160
2010-04-23,1160
2010-04-23,1150
2010-04-23,1150
2010-04-23,1150
2010-04-23,1150
2010-04-23,1150
2010-04-23,1150
2010-04-23,1150
2010-04-23,1150
2010-04-23,1140
2010-04-23,1140
2010-04-23,1140
2010-04-23,1140
2010-04-23,1140
2010-04-23,1140
2010-04-23,1140
2010-04-23,1140
2010-04-23,1140
2010-04-23,1130
